ESTID	GeneID	GOTerm	Description	GOTermDescription
YGR005C	TFG2	GO:0006366	TFIIF (Transcription Factor II) middle subunit	Transcription
YGR258C	RAD2	GO:0006366	Single-stranded DNA endonuclease	Transcription
YGR274C	TAF1	GO:0006366	"TFIID subunit, involved in RNA pol II transcription initiation"	Transcription
YHR143W-A	RPC10	GO:0006366	"RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III"	Transcription
YIL021W	RPB3	GO:0006366	RNA polymerase II third largest subunit B44	Transcription
YIL143C	SSL2	GO:0006366	Component of RNA polymerase transcription factor TFIIH holoenzyme	Transcription
YJL140W	RPB4	GO:0006366	RNA polymerase II subunit B32	Transcription
YKL028W	TFA1	GO:0006366	TFIIE large subunit	Transcription
YKR062W	TFA2	GO:0006366	TFIIE small subunit	Transcription
YLR005W	SSL1	GO:0006366	Subunit of the core form of RNA polymerase transcription factor TFIIH	Transcription
YML015C	TAF11	GO:0006366	TFIID subunit (40 kDa)	Transcription
YML098W	TAF13	GO:0006366	TFIID subunit (19 kDa)	Transcription
YML114C	TAF8	GO:0006366	TFIID subunit (65 kDa)	Transcription
YMR005W	TAF4	GO:0006366	TFIID subunit (48 kDa)	Transcription
YMR030W	RSF1	GO:0006366	Protein required for respiratory growth	Transcription
YMR227C	TAF7	GO:0006366	TFIID subunit (67 kDa)	Transcription
YMR236W	TAF9	GO:0006366	Subunit (17 kDa) of TFIID and SAGA complexes	Transcription
YOL005C	RPB11	GO:0006366	RNA polymerase II subunit B12.5	Transcription
YOR151C	RPB2	GO:0006366	RNA polymerase II second largest subunit B150	Transcription
YOR174W	MED4	GO:0006366	Subunit of the RNA polymerase II mediator complex	Transcription
YOR194C	TOA1	GO:0006366	TFIIA large subunit	Transcription
YOR210W	RPB10	GO:0006366	RNA polymerase subunit ABC10-beta	Transcription
YOR224C	RPB8	GO:0006366	RNA polymerase subunit ABC14.5	Transcription
YPL011C	TAF3	GO:0006366	TFIID subunit (47 kDa)	Transcription
YPL122C	TFB2	GO:0006366	Subunit of TFIIH and nucleotide excision repair factor 3 complexes	Transcription
YPL129W	TAF14	GO:0006366	"Subunit of TFIID, TFIIF, INO80, SWI/SNF, and NuA3 complexes"	Transcription
YPL254W	HFI1	GO:0006366	Adaptor protein required for structural integrity of the SAGA complex	Transcription
YPR025C	CCL1	GO:0006366	Cyclin associated with protein kinase Kin28p	Transcription
YPR056W	TFB4	GO:0006366	Subunit of TFIIH complex	Transcription
YPR187W	RPO26	GO:0006366	RNA polymerase subunit ABC23	Transcription
